edition,start_date,winner_name,winner_team,distance,distance_unit,time_overall,time_margin,time_unit,stage_wins,stages_led,height,weight,age,born,died,full_name,nickname,birth_town,birth_country,nationality
84,1997-07-05,Jan Ullrich,Team Telekom,2454.41545,MI,361835,549,sec,2,12,1.83,73,23,1973-12-02,NA,NA,"Der Kaiser, Der Jan, Der Junge, The Yoyo",Rostock,Germany, Germany
85,1998-07-11,Marco Pantani,Mercatone Uno–Bianchi,3875,KM,92.82944444444443,0.050833333333333335,hr,2,7,1.72,57,28,1970-01-13,2004-02-14,NA,"Il Pirata (The pirate), Elefantino (The little elephant)",Cesena,Italy, Italy
86,1999-07-03,"Armstrong, Lance",U.S. Postal Service,3687,KM,91.53777777777778,0.11861111111111111,hr,4,15,1.77,75,27,1971-09-18,NA,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
87,2000-07-01,Lance Armstrong,U.S. Postal Service,2275.460602,MI,92.55222222222221,0.10166666666666667,hr,1,12,1.77,75,28,1971-09-18,NA,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
88,2001-07-07,Lance Armstrong,U.S. Postal Service,3458,KM,86.2911111111111,0.10166666666666667,hr,4,8,1.77,75,29,1971-09-18,NA,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
89,2002-07-06,Lance Armstrong,U.S. Postal Service,3272,KM,295512,427,sec,4,11,1.77,75,30,1971-09-18,NA,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
90,2003-07-05,Lance Armstrong,U.S. Postal Service,2129.438417,MI,83.68666666666667,0.016944444444444443,hr,1,13,1.77,75,31,1971-09-18,NA,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
91,2004-07-03,Lance Armstrong,U.S. Postal Service,3391,KM,83.60055555555554,0.10166666666666667,hr,5,7,1.77,75,32,1971-09-18,NA,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
92,2005-07-02,Lance Armstrong,Discovery Channel,3593,KM,86.25055555555555,0.06777777777777777,hr,1,17,1.77,75,33,1971-09-18,NA,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
93,2006-07-01,Óscar Pereiro,Caisse d'Epargne–Illes Balears,2272.353747,MI,89.67416666666666,0.008888888888888889,hr,0,8,1.77,68,28,1977-08-03,NA,Óscar Pereiro Sío,NA,Mos,Spain, Spain
94,2007-07-07,Alberto Contador,Discovery Channel,3570,KM,327626,23,sec,1,4,1.76,62,24,1982-12-06,NA,Alberto Contador Velasco,El Pistolero,Pinto,Spain, Spain
95,2008-07-05,Carlos Sastre,Team CSC,3559,KM,87.88111111111111,0.01611111111111111,hr,1,5,1.73,60,33,1975-04-22,NA,Carlos Sastre Candil,NA,Leganés,Spain, Spain
96,2009-07-04,Alberto Contador,Astana,2149.322289,MI,85.80972222222222,0.06777777777777777,hr,2,7,1.76,62,26,1982-12-06,NA,Alberto Contador Velasco,El Pistolero,Pinto,Spain, Spain
97,2010-07-03,"Schleck, Andy",Team Saxo Bank,3642,KM,91.99083333333333,0.016944444444444443,hr,2,12,1.86,68,25,1985-06-10,NA,Andy Raymond Schleck,NA,Luxembourg City,Luxembourg, Luxembourg
98,2011-07-02,Cadel Evans,BMC Racing Team,3430,KM,86.20611111111111,0.016944444444444443,hr,1,2,1.74,64,34,1977-02-14,NA,Cadel Lee Evans,NA,Katherine,Australia, Australia
99,2012-06-20,Bradley Wiggins,Team Sky,2172.313016,MI,315287,183,sec,2,14,1.9,69,32,1980-04-28,NA,Bradley Marc Wiggins,Wiggo,Ghent,Belgium, Great Britain
100,2013-06-29,Chris Froome,Team Sky,3404,KM,83.9388888888889,0.06777777777777777,hr,3,14,1.86,69,28,1985-05-20,NA,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
101,2014-07-05,Vincenzo Nibali,Astana,3660.5,KM,89.985,0.11861111111111111,hr,4,19,1.8,65,29,1984-11-14,NA,NA,"Lo Squalo (The Shark), 'il Roditore' (The Nibbler)",Messina,Italy, Italy
102,2015-07-04,Chris Froome,Team Sky,2087.9929713,MI,84.77055555555556,0.016944444444444443,hr,1,16,1.86,69,30,1985-05-20,NA,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
103,2016-07-02,Chris Froome,Team Sky,3529,KM,89.08,0.06777777777777777,hr,2,14,1.86,69,31,1985-05-20,NA,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
104,2017-07-01,Chris Froome,Team Sky,3540,KM,310855,54,sec,0,15,1.86,69,32,1985-05-20,NA,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
105,2018-07-07,Geraint Thomas,Team Sky,2080.971479,MI,83.28694444444444,0.016944444444444443,hr,2,11,1.83,71,32,1986-05-25,NA,Geraint Howell Thomas,G,Cardiff,Wales, Great Britain
106,2019-07-06,Egan Bernal,Team Ineos,3349,KM,82.95,0.016944444444444443,hr,0,2,1.75,60,22,1997-01-13,NA,Egan Arley Bernal Gómez,NA,Bogotá,Columbia, Colombia
